input,output
"State University of New York Press, 1997.",['State University of New York Press <> Publisher']
"A message from Katarzyna… for September 1, 2014.","['Katarzyna <> Person', 'September 1, 2014 <> Date']"
"Welcome to all you folks in the Washington DC and Richmond area who heard my husband, comedian Christian Finnegan, pimping this site on the radio.","['Washington DC <> City', 'Richmond <> City', 'Christian Finnegan <> Person']"
A sharing session on 10 years of World Clean-Up Day.,"['World Clean-Up Day <> Event', 'Sharing session <> Event']"
Want to know how to sharpen kitchen shears?,"['kitchen shears <> kitchen utensil', 'sharpen <> action']"
"Lightly humourous at times, it's a very enjoyable read.","['Lightly humourous <> Tone', 'enjoyable <> Emotion']"
"RSVP here! We’ll be at a number of locations in 2017, so be sure you check the venue!","['RSVP <> Event', '2017 <> Time', 'venue <> Location']"
Please confirm your Wedding Reservation by sending your $100. 00 Deposit within a week of making your reservation.,"['Wedding Reservation <> Event Reservation', '$100.00 Deposit <> Payment']"
Know East Jordan Class of 2001 graduates that are NOT on this List? Help us Update the 2001 Class List by adding missing names.,"['East Jordan Class of 2001 <> Educational institution', '2001 Class List <> Document']"
Pure Grapeseed oil extracted from the seed of the grape vitus vinifera.,"['Grapeseed oil <> Ingredient', 'Grape vitus vinifera <> Plant species']"
"According to the 2015 census, it has a population of 70,757 people.","['2015 census <> Time', '70,757 people <> Quantity']"
Earth Day Activities for the Whole Family!,"['Earth Day <> holiday/event', 'Activities <> action/event', 'Whole Family <> group/person']"
Online Application Portal for LIBANIA K. G.,"['Online Application Portal <> Technology Platform', 'LIBANIA K. G. <> Company']"
All samples for analysis must be received with an appropriate Chain of Custody (COC) or sample submission form detailing the required analysis for the sample before work can commence.,"['Chain of Custody (COC) <> Sample Submission', 'sample <> Analysis Requirement']"
Is the process the same as with that of regular scissors?,"['process <> tool/process', 'regular scissors <> tool']"
"With this in mind, here are 10 tips that will help you pack like a boss and to do all of that on a short notice.","['10 tips <> Action Item', 'pack like a boss <> Action Item', 'short notice <> Time Frame']"
"Oroquieta is a city in and the capital of the province of Misamis Occidental, Philippines.","['Oroquieta <> City', 'Misamis Occidental <> Province', 'Philippines <> Country']"
"First, remember there is no “magic formula” to female modeling. But, don’t give up for that reason. Online, you’ll find tons of modeling tips for female beginners to browse.","['female modeling <> occupation', 'female beginners <> target audience', 'modeling tips <> resource']"
"There is nothing better than going on a trip. However, you may never know what you could encounter there and in order to be ready for anything you need to pack properly.","['trip <> activity/event', 'encounter <> experience', 'packing <> action/task']"
"Shingle Express, Inc. has been providing reliable and quality gutter installations in Thornton, PA since 2009.","['Shingle Express, Inc. <> Company', 'Thornton, PA <> Location', '2009 <> Date']"
"You’ll hear a new dial tone – now enter the Chinese phone number, starting with the normal international dial code 0086.","['Chinese phone number <> Phone Number', 'International dial code <> Phone Number Component', '0086 <> Phone Number Component']"
"We don't have many details about this fly, apart from who tied it and the country of origin.","['fly <> insect species', 'country of origin <> geographical location', 'tied <> action']"
Returns a list of all nontoken English card names in Scryfall’s database. Values are updated as soon as a new card is entered for spoiler seasons.,"['Scryfall’s database <> database', 'English card names <> card name', 'Spoiler seasons <> event']"
